充	しゅう:on じゅう:on
傑	けっ:on けつ:on
傍	ぼう:on わき:on
偽	き:on ぎ:on
侍	し:on じ:on
佚	いっ:on いつ:on
似	し:on ね:on
伴	はん:on ばん:on
京	きょう:on けい:on
亡	ほう:on ぼう:on
互	こ:on ご:on
上	しょう:on りあげ:kun
龜	き:on
鼾	かん:on
鼎	てい:on
黯	あん:on
黛	たい:on
黒	っくろ:kun
麾	き:on
麻	ま:on
麗	れい:on
鹸	けん:on
鹵	ろ:on
鶴	かく:on
鶏	けい:on
鵞	が:on
鵄	し:on
鳴	めい:on
鳩	きゅう:on
鯨	げい:on
鮑	ほう:on
魯	ろ:on
魚	み:on
魔	ひ:on
魄	はく:on
魂	こん:on
鬼	き:on
髄	つい:on
骸	かい:on
骨	こっ:on
驩	かん:on
驥	き:on
驚	きょう:on
驀	ばく:on
騰	とう:on
騒	そう:on
駆	く:on
馴	じゅん:on
馳	ち:on
馭	きょ:on
馘	かく:on
饑	き:on
饌	せん:on
餬	こ:on
餞	せん:on
餐	さん:on
餌	し:on
飾	しょく:on
飽	ほう:on
飯	はん:on
飢	き:on
食	しょっ:on
飄	ひょう:on
颱	たい:on
顫	せん:on
顧	こ:on
顛	てん:on
顕	けん:on
頽	たい:on
頤	い:on
頗	は:on
頓	とん:on
頑	がん:on
頃	けい:on
頂	ちょう:on
響	きょう:on
音	いん:on
韓	かん:on
鞜	とう:on
靴	か:on
革	かく:on
靡	ひ:on
青	っさお:kun
霧	む:on
霜	そう:on
霊	りょう:on
震	しん:on
雹	ひょう:on
雷	らい:on
雪	せっ:on
雑	ざっ:on
雇	こ:on
隷	れい:on
隣	りん:on
障	しょう:on
隘	あい:on
隆	りゅう:on
隅	くう:on
陸	りっ:on
陳	ちん:on
陪	ばい:on
陥	かん:on
陞	しょう:on
陋	ろう:on
附	ぶ:on
阿	あ:on
阻	そ:on
闡	せん:on
闘	とう:on
闖	ちん:on
闕	けつ:on
闇	あん:on
閲	えつ:on
閣	かく:on
閃	せん:on
鑿	さく:on
鑽	さん:on
鏡	かね:kun
鏖	おう:on
鎮	ちん:on
鎖	さ:on
鍾	しょう:on
鍵	けん:on
鍛	たん:on
鍍	と:on
錯	しゃく:on
錮	こ:on
錬	れん:on
錨	ひょう:on
錦	きん:on
錘	すい:on
錐	すい:on
鋳	ちゅう:on
鋪	ほ:on
鋒	ほう:on
鋏	きょう:on
銚	ちょう:on
銓	せん:on
鉢	はつ:on
鉛	えん:on
鉄	てっ:on
鈞	きん:on
針	しん:on
釘	てい:on
金	かな:kun
釈	しゃく:on
醸	じょう:on
醵	きょ:on
醤	しょう:on
醜	しゅう:on
醒	せい:on
醇	じゅん:on
醂	りん:on
酵	こう:on
酬	しゅう:on
酔	すい:on
酉	のとり:kun
鄭	てい:on
鄙	ひ:on
郷	きょう:on
郵	ゆう:on
郭	かく:on
郊	こう:on
邦	ほう:on
邏	ら:on
邁	まい:on
邀	よう:on
遺	ゆい:on
遷	せん:on
遵	じゅん:on
遮	しゃ:on
遭	そう:on
適	てっ:on
遥	よう:on
遠	えん:on
遜	そん:on
遏	あつ:on
遊	ゆ:on
遁	とん:on
逡	しゅん:on
速	そっ:on
逞	てい:on
逝	せい:on
逓	てい:on
逑	きゅう:on
逐	ちく:on
逃	とう:on
迸	へい:on
迷	めい:on
述	じゅっ:on
迭	てつ:on
迅	じん:on
迂	う:on
辺	へ:on
辱	しょく:on
辰	しん:on
辣	らつ:on
辟	へき:on
辛	しん:on
轟	ごう:on
轄	かつ:on
輾	てん:on
輻	ふく:on
輸	ゆ:on
輯	しゅう:on
輩	はい:on
輝	き:on
輜	し:on
輛	りょう:on
輔	ほ:on
輌	りょう:on
輊	ち:on
軟	なん:on
軌	き:on
躬	きゅう:on
身	つみ:kun
躁	そう:on
蹴	しゅう:on
蹠	しょ:on
蹟	せき:on
踞	きょ:on
踏	とう:on
践	せん:on
跳	ちょう:on
路	うじ:kun
跪	き:on
距	きょ:on
跛	は:on
足	つあし:kun
趨	すう:on
趣	しゅ:on
起	っき:kun
赴	ふ:on
赭	しゃ:on
赦	しゃ:on
贋	がん:on
購	こう:on
賠	ばい:on
賜	し:on
賓	ひん:on
賎	せん:on
貿	ぼう:on
貼	ちょう:on
貸	たい:on
貯	ちょ:on
貪	どん:on
貢	こう:on
負	おい:on
貞	てい:on
貌	ほう:on
象	しょう:on
豊	ほう:on
豆	す:on
豁	かつ:on
讚	さん:on
讒	ざん:on
讐	しゅう:on
讎	しゅう:on
譴	けん:on
譚	たん:on
證	しょう:on
謹	きん:on
謳	おう:on
謫	たっ:on
謡	よう:on
謙	けん:on
謐	ひつ:on
謄	とう:on
諺	けん:on
諸	もろ:kun
諷	ふう:on
諳	あん:on
諮	し:on
諭	ゆ:on
諧	かい:on
諜	ちょう:on
諚	しょう:on
諌	かん:on
誹	ひ:on
誰	すい:on
誨	かい:on
誣	ぶ:on
誘	ゆう:on
誓	せい:on
誇	こ:on
誅	ちゅう:on
詳	しょう:on
詠	よみ:kun
詔	しょう:on
詐	さ:on
註	ちゅう:on
訳	いわけ:kun
訥	とつ:on
訣	けつ:on
訟	しょう:on
訛	か:on
訊	じん:on
触	しょく:on
解	げ:on
覿	てき:on
覲	きん:on
覚	かく:on
見	ちみ:kun
襲	しゅう:on
褫	ち:on
褪	たい:on
褒	ほう:on
褊	へん:on
裸	ら:on
裨	ひ:on
裡	り:on
裕	ゆう:on
裂	れつ:on
被	かむり:kun
袖	しゅう:on
袒	たん:on
袂	へい:on
衾	きん:on
衷	ちゅう:on
衰	すい:on
衣	き:on
衝	しょう:on
衛	えい:on
衙	か:on
衒	げん:on
衍	えん:on
衆	しゅ:on
蠢	しゅん:on
蠕	ぜん:on
蟄	ちっ:on
融	ゆう:on
蝸	か:on
蝟	い:on
蝕	しょく:on
蝉	せん:on
蜂	ほう:on
蛮	はん:on
蛇	だ:on
蚕	さん:on
虔	けん:on
虎	こ:on
蘖	けつ:on
蘊	うん:on
蘇	そ:on
藉	しゃ:on
薬	やっ:on
薫	くん:on
薨	こう:on
薦	せん:on
薙	ち:on
薑	か:on
蕭	しょう:on
蕩	とう:on
蕃	はん:on
蔟	そく:on
蓄	ちく:on
蒼	そう:on
蒸	じょう:on
蒙	もう:on
蒐	しゅう:on
葦	い:on
葛	かっ:on
落	らっ:on
菓	か:on
莫	ばく:on
荷	か:on
茫	ぼう:on
茎	けい:on
茂	も:on
苛	か:on
芻	すう:on
芳	ほう:on
芟	さん:on
芒	ぼう:on
艷	えん:on
艶	えん:on
色	しき:on
艱	かん:on
艤	ぎ:on
舶	はく:on
舵	た:on
般	はん:on
舟	ふな:kun
舞	ふ:on
舘	かん:on
舗	ほ:on
興	こう:on
臼	きゅう:on
至	し:on
臘	ろう:on
臓	そう:on
臍	さい:on
臂	ひ:on
膺	よう:on
膨	ぼう:on
膠	こう:on
膝	しっ:on
膏	こう:on
膊	はく:on
腿	たい:on
腰	よう:on
腔	こう:on
腐	ふ:on
脣	しん:on
脚	きゃ:on
脇	わけ:kun
脆	ぜい:on
脅	きょう:on
脂	し:on
胸	きょう:on
胡	う:on
胞	ほう:on
胎	たい:on
背	はい:on
肴	こう:on
肱	こう:on
肯	こう:on
肩	けん:on
肥	ひ:on
肛	こう:on
肖	しょう:on
肉	にっ:on
肆	し:on
聴	ちょう:on
聳	しょう:on
聰	そう:on
聡	そう:on
聚	しゅう:on
聖	せい:on
聊	りょう:on
耽	たん:on
耘	うん:on
耗	もう:on
耄	もう:on
耀	よう:on
翻	ほん:on
翰	かん:on
翫	かん:on
翔	しょう:on
翅	し:on
翁	おう:on
羽	う:on
羸	るい:on
羊	よう:on
羈	き:on
羅	ら:on
罹	り:on
罷	ひ:on
纜	らん:on
纏	てん:on
纂	さん:on
繹	えき:on
繰	そう:on
繭	けん:on
繞	しょう:on
繙	はん:on
繕	せん:on
繍	しゅう:on
繊	せん:on
績	せき:on
縷	る:on
縮	しゅく:on
縦	しょう:on
縊	い:on
緻	ち:on
緩	かん:on
編	あみ:kun
緘	かん:on
緒	しょ:on
綽	しゃく:on
綻	たん:on
維	い:on
絹	けん:on
絵	かい:on
絮	じょ:on
絞	こう:on
組	つぐみ:kun
絃	けん:on
紹	しょう:on
紳	しん:on
細	さい:on
紮	さつ:on
紫	し:on
紛	ふん:on
紘	こう:on
紐	ちゅう:on
紆	う:on
紅	こう:on
糾	きゅう:on
糺	きゅう:on
糧	りょう:on
糊	こ:on
精	しょう:on
粧	しょう:on
粛	しゅく:on
籤	せん:on
籟	らい:on
籌	ちゅう:on
簡	けん:on
簒	さん:on
篦	べら:kun
篤	とく:on
篆	てん:on
箝	かん:on
箚	さつ:on
算	しざん:kun
箇	こ:on
筆	ひっ:on
笨	ほん:on
竿	かん:on
競	きょう:on
竣	しゅん:on
窺	き:on
窯	よう:on
窟	くつ:on
窓	そう:on
窒	ちっ:on
窃	せっ:on
穿	せん:on
穴	けっ:on
穎	えい:on
穂	すい:on
穀	こく:on
稼	か:on
種	くさ:kun
稚	ち:on
程	てい:on
秤	ひょう:on
租	そ:on
禽	きん:on
禦	きょ:on
祿	ろく:on
祥	しょう:on
祠	し:on
神	にがみ:kun
祝	しゅう:on
祚	そ:on
祗	し:on
祈	き:on
祀	し:on
礼	らい:on
示	し:on
礙	け:on
礎	そ:on
磐	はん:on
磊	らい:on
碇	てい:on
硼	ほう:on
硯	けん:on
硅	けい:on
砿	こう:on
砕	さい:on
矯	きょう:on
矮	わい:on
瞳	どう:on
瞰	かん:on
瞭	りょう:on
瞬	しゅん:on
瞠	どう:on
瞞	まん:on
瞑	めい:on
睹	と:on
睦	ほく:on
睡	すい:on
着	ちゃっ:on
眸	ほう:on
眠	みん:on
眉	ひ:on
省	せい:on
盲	もう:on
盪	とう:on
盞	さん:on
盃	はい:on
皮	ひ:on
皙	せき:on
皓	こう:on
百	もも:kun
登	と:on
発	ほつ:on
癲	てん:on
癒	ゆ:on
療	りょう:on
瘻	ろう:on
痴	ち:on
痩	そう:on
痢	り:on
痘	とう:on
痒	よう:on
疹	しん:on
疲	ひ:on
疏	そ:on
疎	そ:on
疋	ひき:on
略	りゃっ:on
畢	ひっ:on
畜	ちく:on
留	りゅう:on
畏	い:on
申	しん:on
甲	っこう:kun
用	にょう:on
甦	こう:on
瓦	が:on
瓢	ひょう:on
瓜	か:on
璽	し:on
璧	へき:on
瑣	さ:on
琢	たく:on
珪	けい:on
王	のう:on
率	そっ:on
獰	どう:on
獪	かい:on
猿	えん:on
猶	ゆう:on
猪	ちょ:on
猥	わい:on
猜	さい:on
狼	ろう:on
狷	けん:on
独	どっ:on
狩	しゅ:on
狡	こう:on
狙	そ:on
狐	こ:on
犠	ぎ:on
牽	けん:on
特	とっ:on
牘	とく:on
牒	ちょう:on
爾	じ:on
爽	そう:on
爺	し:on
父	し:on
爛	らん:on
燦	さん:on
燥	そう:on
燈	とう:on
熟	じゅっ:on
熔	よう:on
熄	そく:on
煽	せん:on
照	しょう:on
煥	かん:on
煙	えん:on
煎	せん:on
煉	れん:on
焦	しょう:on
焔	えん:on
烽	ほう:on
烟	えん:on
烈	れつ:on
点	て:on
炯	けい:on
炭	たん:on
炙	しゃ:on
炊	すい:on
災	さい:on
灼	しゃく:on
灰	かい:on
瀰	び:on
瀑	はく:on
瀉	しゃ:on
濾	ろ:on
濯	たく:on
濫	らん:on
濃	のう:on
濁	たく:on
激	げっ:on
澄	ちょう:on
